Height,Images,SuitableZone,GrowingSeason,BotanicName,Herkunft,Family,Location,HumidityRequirement,Benefit,Name,Notes,FlowerColor,Soil,Usability,FloweringPeriod
max. 10 m,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Malus-sylvestris-Blüten-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Malus-sylvestris-300x225.jpg']",Pufferzone,Gehölz,Malus sylvestris,heimisch,Rosengewächse - Rosaceae,Sonne - Halbschatten,frisch - feucht,"Nahrung für Insekten, Vögel und Kleintiere",Wildapfel,"Dieser heimische Kleinbaum kann bei guten Bedingungen bis zu 10 Metern hoch werden, meist erreicht er aber lediglich eine Höhe von ca. 6 Metern und eine Breite von bis zu 4 Metern. Der Standort sollte nicht nur sonnig bis halbschattig sein, sondern auch nährstoffreich und nicht zu trocken. Die Blüten bieten von Mai bis Juni vielen Insekten Nahrung. Die kleinen, holzigen Äpfel sind zwar essbar, aber sehr sauer und meist auch bitter. Man kann sie also getrost den Vögeln und Kleintieren überlassen, die dieses Nahrungsangebot ab September sehr schätzen. Meist wächst der Wildapfel mehrstämmig eher als Wildstrauch und kann daher gut in Mischhecken intigriert werden.",rosaweiß,nährstoffreich,,April - Mai
max. 25 m,,Pufferzone,Gehölz,Juglans regia,heimisch (s. Bemerkungen),Walnussgewächse - Juglandaceae,Sonne - Halbschatten,frisch - feucht,Nahrung für Kleintiere,Walnuss,"Eigentlich aus Südosteuropa und Westasien stammend, gilt die Walnuss auch im Süden Deutschlands als heimische Art, da sie schon von den Römern in Südwestdeutschland angebaut wurde. Ein Walnussbaum benötigt Platz - viel Platz, wird er doch bis zu 25 Metern hoch und bis zu 15 Metern breit, wobei sich seine Zweige auch bodennah ausbreiten, wenn man ihn lässt. Die ab September gebildeten Nüsse werden von Eichhörnchen und anderen Kleintieren gerne angenommen, die Menschen nutzen die äußerst gesunde Walnuss seit mehr als 9000 Jahren als Nahrungsmittel. Der stattliche Baum bevorzugt einen sonnigen bis halbschattigen Standort mit tiefgründigem und nährstoffreichem Boden, der frisch bis feucht sein sollte. Junge Bäume sollten vor starkem Frost geschützt werden.",gelbgrün,nährstoffreich,Walnüsse sind äußerst gesund und vielseitig verwendbar.,April - Juni
max. 30 m,,Pufferzone,Gehölz,Fagus sylvatica,heimisch,Fagaceae - Buchengewächse,Sonne - Halbschatten - Schatten,frisch - feucht,,Rotbuche,"Dieser Baum ist vielen eher als Hecke bekannt, denn die Rotbuche verträgt radikale Rückschnitte und kann zu blickdichten Hecken beliebiger Höhe erzogen werden. Als Baum kann die in Europa einheimische Rotbuche bis zu 400 Jahre alt werden, eine Höhe von bis zu 30 Metern und eine Breite von bis zu 8 Metern erreichen. Der Zuwachs pro Jahr beträgt ca. 20-50 cm. Die Rotbuche ist schattenverträglich und kommt auf nährstoffreichen Böden, die frisch bis feucht sind, am besten zurecht. Das gelbbraune Laub wird erst sehr spät abgeworfen. Auf den Klimawandel reagiert sie in Regionen mit immer heißeren und vor allem langen trockenen Perioden sensibel.",grünbraun,nährstoffreich,,Mai
Ca 50 cm,['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Ornithogalum-nutans-300x225.jpg'],Magerzone,Zwiebelgewächs,Ornithogalum nutans,"Südosteuropa, seit Jahrhunderten eingebürgert",Asparagaceae - Spargelgewächse,Sonne - Halbschatten,trocken,,Nickender Milchstern,"Ursprünglich aus Südosteuropa stammend, hat sich der Nickende Milchstern schon vor ein paar Jahrhunderten in unseren Breiten etabliert. Die ca. 50 cm hohe Pflanze ist, vor allem in kleinen Gruppen gepflanzt, ein echter Blickfang. Zwischen April und Mai erscheinen ihre sternförmigen grün/weißen Blüten und sind eine Bereicherung für jedes Magerbeet, denn der Nickende Milchstern mag es nährstoffarm und trocken. Der Standort sollte sonnig oder halbschattig sein. Über Tochterzwiebeln vermehrt sich der Nickende Milchstern, es soll aber wohl auch möglich sein, die reifen Samen zu sammeln und im Frühjahr oder Herbst direkt ins Beet auszusäen.",grünweiß,mager,,April - Mai
Ca 20 cm,['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Muscari-neglectum-225x300.jpg'],Pufferzone,Zwiebelgewächs,Muscari neglectum,"Südeuropa bis Mittlerer Osten, Archäophyt",Asparagaceae - Spargelgewächse,Sonne - Halbschatten,trocken,Hummeln,Weinbergs-Traubenhyazinthe,"Die bis zu 20 cm hohe Weinbergs-Traubenhyazinthe gilt in Deutschland als sogenannter Archäophyt, was bedeutet, dass sie schon vor der (Wieder)Entdeckung Amerikas 1492 hier etabliert war. Ihre ursprüngliche Heimat ist das Gebiet von Südeuropa bis zum Mittleren Osten. Pflanzt man die Zwiebeln an einem mageren bis humosen und trockenen Standort, kann man sich zwischen März und Mai an den schönen blauvioletten Blüten erfreuen. Vor allem für Hummeln mit ihren langen Rüsseln ist die Weinbergs-Traubenhyazinthe eine wichtige Nahrungsquelle. Die Weinbergs-Traubenhyazinthe eignet sich gut zum Verwildern, da sie sich durch Selbstaussaat und Tochterzwiebeln stark ausbreitet.",blauviolett,mager - humos,,März - Mai
Ca 20 cm,"['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Scilla-bifolia-1-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/01/Scilla-bifolia2-225x300.jpg']",Pufferzone,Zwiebelgewächs,Scilla bifolia,heimisch,Asparagaceae - Spargelgewächse,Sonne - Halbschatten - Schatten,frisch - feucht,,Zweiblättriger Blaustern,"Diese heimische Pflanze punktet durch ihren guten Nektar- und ihren hohen Pollengehalt und ist besonders bei Bienen und Hummeln sehr beliebt. Da er zu den geschützten Pflanzen gehört, ist das Pflücken oder gar Ausgraben in der Natur verboten. Die gute Nachricht ist, dass Scilla bifolia im Handel erhältlich ist, man muss nur ein wenig darauf achten, aus den vielen angebotenen Scilla-Arten „Scilla bifolia“ auszuwählen. Es gibt bei dieser Zwiebel keinen vernünftigen Grund, auf nichtheimische Arten zurückzugreifen. Überall, wo der Boden humos und nicht zu trocken ist, kann der Blaustern ausgebracht werden, die bis zu 20 cm hohe Pflanze wächst auf Wiesen genauso gut wie unter Laubgehölzen und zeigt ihre schönen blauen Blüten ab März. Mittlerweile gibt es den Zweiblättrigen Blaustern auch in den Farben weiß und rosa. Da er schnell verwildert, können sich im Laufe der Jahre wunderschöne dreifarbige Teppiche bilden.","blau, weiß, rosa",humos,,März - April
Ca 30 cm,['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Colchicum-autumnale-300x225.jpg'],sonnige Pufferzone,Zwiebelgewächs,Colchicum autumnale,heimisch,Colchicaceae - Zeitlosengewächse,Sonne - Halbschatten,feucht,,Herbstzeitlose,"Im Gegensatz zu den meisten hier vorgestellten Zwiebelpflanzen blüht die Herbstzeitlose - wie ihr Name schon vermuten lässt - im Spätsommer/Herbst. Da sie wie ein zu groß geratener Krokus aussieht, wird sie fälschlicherweise oft den herbstblühenden Krokusarten zugeordnet. An ihrem lateinischen Namen kann man aber schon erkennen, dass sie zur Familie der Zeitlosen (Colchicum) gehört. Die heimische Herbstzeitlose steht inzwischen in einigen Bundesländern auf der Roten Liste der gefährdeten Wildpflanzen. Bei den Landwirten ist sie nicht sonderlich beliebt, denn die Pflanze ist nicht nur für den Menschen hochgiftig, sondern auch für Rinder und Pferde. Zwischen August und Oktober zeigt die bis zu 30 cm hohe Herbstzeitlose ihre prächtigen violett/lilafarbenden Blüten, die gerne von Insekten angeflogen werden, zumal sie zu einer Zeit blüht, in der die Tiere durch das vielerorts unterbrochene Trachtenband (dem durchgängige Nahrungsangebot im Jahresverlauf) kaum Nahrung finden. An sonnigen Standorten mit humosem, feuchtem Boden fühlt sich die Herbstzeitlose am wohlsten. Wer also in seinem Hortus nährstoffreichere, leicht verkrautete Grasflächen hat, kann sie u.a. mit der Herbstzeitlosen zu einem wertvollen Lebensraum aufwerten.",lila,humos,hochgiftig!,August - Oktober
10 - 30 cm,,Pufferzone,Zwiebelgewächs,Ornithogalum umbellatum,heimisch,Asparagaceae - Spargelgewächse ,Sonne - Halbschatten,trocken - frisch,"Bienen, Hummeln",Dolden-Milchstern,"Eine wahre Augenweide ist der Dolden-Milchstern, der auch Stern von Bethlehem genannt wird. Das heimische Zwiebelgewächs wird bis zu 30cm hoch und zeigt seine sternförmigen, weißen Blüten ab April bis in den Mai hinein. Damit gehört er zu den Frühblühern und ist eine wertvolle Nahrungsquelle für alle frühfliegenden Insekten. Im Sommer „zieht er ein“, das bedeutet, dass er scheinbar verschwindet und sich erst im nächsten Frühling wieder zeigt. Der Standort sollte sonnig bis halbschattig und trocken bis frisch sein. Er eignet sich wunderbar zur Unterpflanzung von Hecken, da im Frühling kaum Laub den Boden beschattet. Aber auch als Randbepflanzung sieht der Dolden-Milchstern sehr schön aus. Im Laufe der Jahre kann er sich am richtigen Standort stark vermehren. Übrigens:  Die Zwiebeln sind stark giftig!!! Man sollte gut darauf achten, sie von Kindern fern zu halten und nach dem Pflanzen die Hände gründlich zu waschen.",weiß,humos,,April - Mai
Ca 25 cm,,Magerzone,Zwiebelgewächs,Tulipa humilis,Naher Osten (Türkei bis Iran),Liliaceae - Liliengewächse ,Sonne,trocken,,Wildtulpe,"Ähnlich wie die Felsentulpe ist auch die Wildtulpe nicht heimisch. Ihre Heimat liegt in der Region des nahen Ostens von der Türkei bis zum Iran. Immerhin wurde sie ca. 1850 bei uns als Kulturpflanze beschrieben. Die Tulipa humilis ist im Handel mittlerweile in vielen unterschiedlichen Farben erhältlich. (Fast) alle haben aber gemeinsam, dass die Blütenblätter außen eine andere Farbe aufweisen als in der Mitte. Pflanzt man die Wildtulpe an einen sonnigen, trockenen und mageren Standort, so blüht sie ab April und gehört damit zu den ersten wichtigen Nahrungsquellen für frühfliegende Insekten. Mit etwas Glück und dem richtigen Standort verwildert die Tulipa humilis im Laufe der Jahre und bildet schöne große Gruppen.",verschiedene,mager,,April
Ca 25 cm,['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Tulipa-bakeri_Tulipa-tarda-300x225.jpg'],Magerzone,Zwiebelgewächs,Tulipa bakeri,Kreta,Liliaceae - Liliengewächse ,Sonne,trocken,,Felsentulpe,"Bei Tulpen wird es mit heimischen Sorten etwas schwierig, die Felsentulpe gehört definitv nicht dazu, denn sie stammt ürsprünglich aus Kreta. Ab April ist sie nicht nur ein schöner Farbtupfer im Hortus, sondern wird auch viel von Bienen angeflogen, die so früh im Jahr auf sogenannte Frühblüher angewiesen sind. Vielleicht ist sie nicht die Top-Pflanze für die Spezialisten unter den Insekten, aber auch die „Generalisten“, also jene Insekten, die sich nicht auf eine spezielle Nahrungsquelle festgelegt haben, benötigen Nahrung. Wer also einen wertvollen Nektarlieferanten nichtheimischer Herkunft in seinem Hortus toleriert, kann sein Insekten-Nahrungsangebot in der Magerzone früh im Jahr mit der Felsentulpe ergänzen. Sie bevorzugt sonnige, trockene und magere Standorte und wird bis zu 25 cm hoch und verschönert mit ihren rosa/violetten Blütenblättern, die in der Mitte gelb sind, jedes Mager-/Steingartenbeet.",rosa/violett,mager,,April
Bis ca. 180 cm,,Pufferzone,Zwiebelgewächs,Lilium martagon,heimisch,Liliaceae - Liliengewächse,Halbschatten - lichter Schatten,frisch - feucht,"Schmetterlinge (insbesondere Nachtfalter), Hummeln",Türkenbund-Lilie,"Eine der wenigen heimischen Lilienarten ist die Türkenbund-Lilie. Sie kann unter optimalen Bedingungen eine Höhe von fast zwei Metern erreichen, bleibt aber in der Regel kleiner (ca. 120 - 150cm). Sie mag humosen, frischen bis leicht feuchten Boden, ist aber wegen ihrer Größe für Heckenunterpflanzungen nicht geeignet. Sie wächst im kühlen Halbschatten - gern auch unter Laubbäumen - am besten, wobei ihre schönen, rosa Blüten ab Juni auch nachts duften und viele Nachtfalter anziehen. Aber auch andere Insekten mit langem Rüssel fliegen die Blüten an. Eine Vermehrung der Lilie ist zwar über Samen möglich, allerdings kann es durchaus vier Jahre dauern, bis die Pflanzen blühen. Schneller geht es mit Brutzwiebeln, die mit ein wenig Glück schon nach zwei Jahren blühen können.",rosa,humos,,Juni - August
Ca 20 cm,['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Narcissus-Tete-a-Tete-300x225.jpg'],Magerzone,Zwiebelgewächs,Narcissus Tete a Tete,Iberische Halbinsel,Amaryllidaceae - Amaryllisgewächse,Sonne - Halbschatten,frisch - feucht,,"Narzisse/Osterglocke ""Tete a Tete""","Diese Narzisse stammt ursprünglich von der iberischen Halbinsel und wird nur ca. 20cm groß. Ihre gelben Blüten öffnen sich - je nach Region und Witterung - bereits ab März. Sie zählt zu den Frühblühern und daher zu den ersten Nahrungslieferanten des Jahres. Allerdings muss ich gestehen, dass ich in meinem Hortus noch nie Insekten an der Narzisse gesehen habe. Ich kann nicht sagen, ob die Insekten hier die anderen Frühblüher bevorzugen, ob ich immer zur falschen Zeit geschaut habe oder ob meine Narzissen einfach keine Insekten anziehen. Wie dem auch sei, die Narzisse wächst am besten in humosem Boden, der frisch bis feucht und sonnig bis halbschattig sein sollte. Am richtigen Standort kann sie im Laufe der Jahre verwildern und schöne große Gruppen bilden.",gelb,humos,,März
Ca. 30 - 60 cm,,Magerzone,Zwiebelgewächs,Allium carinatum,Mittel- und Südeuropa,Amaryllidaceae - Amaryllisgewächse,Sonne,trocken - frisch - feucht,"Bienen, Tagfalter, Hummeln",Gekielter Lauch,"Der mehrjährige Gekielte Lauch ist eine wahre Schönheit. Seine lilavioletten Blüten zeigen sich ab Juni, stehen in der Mitte aufrecht und hängen am Rand über. Bienen, Hummeln und Schmetterlinge sind eifrige Besucher. Ursprünglich wahrscheinlich aus dem südlichen Europa stammend, zählt der Gekielte Lauch bei uns zu den Archäophyten, also zu den Pflanzen, die schon vor der (Wieder)Entdeckung Amerikas 1492 hier heimisch waren. Der Standort sollte sonnig und mager sein, mit der Feuchtigkeit nimmt er es nicht so genau, sowohl trockene als auch feuchte Standorte sind möglich. Die konkurrenzstärkste Pflanze ist der Gekielte Lauch nicht, man sollte also darauf achten, dass die Nachbarn nicht zu ausbreitungsfreudig sind und die Zwiebeln in Gruppen setzen.",violett,mager,,Juni - August
Bis ca. 80 cm,,Magerzone,Zwiebelgewächs,Allium nigrum,"Südeuropa, Naher Osten",Amaryllidaceae - Amaryllisgewächse,Sonne,trocken - frisch,"Bienen, Schmetterlinge, Hummeln",Zier-Lauch,"Nicht ganz heimisch - zugegeben, der Zierlauch stammt aus der Region Südeuropa ostwärts bis zum Nahen Osten. Später kam er dann über den Mittelmeerraum zu uns. Wer also seinen Hortus streng einheimisch bepflanzen möchte, müsste beim Zier-Lauch Verzicht üben. Für all jene, die ihre Grenzen nicht ganz so eng stecken, empfehle ich ihn trotzdem als eine wunderbare Ergänzung für Trockenstandorte.  Der kugelige Kopf besteht ab Mai aus vielen einzelnen weißen Blüten mit grüner Mitte, der emsig von vielen verschiedenen Insekten angeflogen wird. Der Zier-Lauch kann bis zu 80cm hoch werden. Der Standort sollte mager und trocken bis frisch sein, desweiteren ist der Zier-Lauch ein Sonnenkind. Am richtigen Standort stehen die Chancen gut, dass er verwildert und größere Bestände bildet, ohne dabei andere Arten zu verdrängen.",weiß,mager,,Mai - Juli
Bis ca. 60-70 cm,"['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Origanum-vulgare.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/01/Origanum-vulgare2.jpg']","Magerzone, Ertragszone",mehrjährig,Origanum vulgare,Mittelmeerraum,Lamiaceae - Lippenblütengewächse,Sonne,trocken,Insekten,Oregano,"Oregano ist eine ausdauernde Staude, die ca. 60-70 cm hoch werden kann. Ursprünglich aus dem Mittelmeerraum stammend, wird Oregano bei uns schon seit mehr als 400 Jahren kultiviert. Die Aussaat erfolgt entweder ab März in Vorkultur oder ab April direkt ins Freiland. Da Oregano zu den Lichtkeimern gehört, dürfen die Samen nur angedrückt, aber nicht mit Erde bedeckt werden. Am richtigen Standort, der sonnig, trocken und mager bis mäßig nährstoffreich sein sollte, breitet sich die Pflanze gerne über Ausläufer und Selbstaussaat aus. Ab Juli erscheinen die rosafarbenen Blüten, die von Insekten angeflogen werden.  Für die mediterrane Küche ist Oregano unabdingbar, doch auch Salaten und Kräutermischungen für Quark & Co. gibt er eine ganz besondere Würze. Egal, ob frisch oder getrocknet, dieses Kraut sollte in keiner Küche fehlen.  Doch Oregano kann noch mehr: Ihm werden auswurffördernde, krampflösende und wegen seiner Gerbstoffe eine zusammenziehende Wirkung zugeschrieben. Es wirkt entzündungshemmend, hilft bei Erkrankung der oberen Atemwege und lindert Verdauungsbeschwerden. Äußerlich angewendet soll es Allergien und Hautausschläge lindern. Desweiteren wird in der Aromatherapie ätherisches Oreganoöl verwendet.",rosafarben,mager bis mäßig nährstoffreich,"essbar, Gewürzkraut, Heilkraut",Juli und September
Bis ca. 250cm,"['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Levisticum-officinale.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/01/Levisticum-officinale2.jpg']",Ertragszone,mehrjährig,Levisticum officinale,Vermutlich Mittlerer Osten,Apiaceae - Doldenblütler,Sonne - Halbschatten,frisch,,Liebstöckel,"Liebstöckel ist eine mehrjährige Pflanze, die je nach Standort eine Höhe von ca. 2,5 m und einen Durchmesser von ca. 60 cm erreichen kann. Durch eine regelmäßige Ernte kann er aber kleiner gehalten werden, auch Rückschnitte werden vertragen.  Die genaue Herkunft ist nicht bekannt, vermutet wird aber der Mittlere Osten im Gebiet um das heutige Afgahnistan. Schon vor langer Zeit (ca. Ende des 18. / Anfang des 19. JH ?) wurde er bei uns in Klostergärten angebaut. Die Aussaat erfolgt ab April direkt ins Freiland, eine Vorkultur ab März ist möglich. Liebstöckel bevorzugt nähstoffreichen Boden, bei mir wächst er am besten im hellen Halbschatten, doch er kommt auch mit einem sonnigen oder normalen Halbschatten gut zurecht. Für ein wenig Wasser in Trockenzeiten ist er dankbar. Die gelben Blüten bilden sich ab Juni und ab August reifen die Samenstände. Frisch oder getrocknet kann man Liebstöckel hervorragend für Eier- und Pilzgerichte, sowie für Suppen und Eintöpfe verwenden. Wer seine Fleisch- bzw. Gemüsebrühen selber herstellt, kann bei der Zubereitung die Stiele grob hacken und mitkochen.  In der Volksmedizin wird Liebstöckel als Magenmittel bei Sodbrennen, Völlegefühl und Aufstoßen verwendet. Auf Grund der harntreibenden Wirkung sollte man bei einer medizinischen Verwendung von Liebstöckel auf eine ausreichende Flüssigkeitszufuhr achten und bei Nierenproblemen vorher mit einem Arzt Rücksprache halten.",gelb,nährstoffreich,"essbar, Gewürzkraut, Heilkraut",Juni bis Anfang August
Bis ca. 80cm,,"Magerzone, Ertragszone",einjährig (auch Halbstrauch),Origanum majorana - ,Kleinasien,Lamiaceae - Lippenblütengewächse,Sonne - Halbschatten,trocken - frisch,Insekten,Majoran,"Die Wildform des Majoran gehört zu den Halbsträuchern, bei uns findet er sich meist als einjährige Pflanze mit einer Höhe bis zu ca. 80 cm. Ursprünglich aus Kleinasien stammend, wird er bei uns schon seit sehr langer Zeit kultiviert. Majoran fühlt sich in lockeren Böden mit Stein- und Lehmanteilen sehr wohl, der Standort darf gerne vollsonnig sein. Die Direktaussaat erfolgt nach den Eisheiligen wobei die Saat nur sehr dünn mit Erde bedeckt werden sollte. Wer nicht so lange auf erntefähige Pflanzen warten möchte, kann problemlos ab März in Töpfen auf der Fensterbank aussäen oder die im Handel angebotenen Kräutertöpfe pflanzen. Majoran verträgt Trockenheit und muss nur an besonders heißen und trockenen Tagen gegossen werden. Die kleinen weißen bis rötlichen Blüten werden ab Juni gerne von Insekten angeflogen.  Wie die meisten Kräuter enthält auch Majoran viel Vitamin C und Gerbstoffe, die sich positiv auf unsere Gesundheit auswirken. Man verwendet ihn häufig um fette Speisen leichter verdaulich zu machen. Weiterhin werden ihm leicht entzündungshemmende und immunsystemstärkende Eigenschaften zugeschrieben. In der Küche verleiht Majoran Suppen, Eintöpfen und mediterranen Gerichten eine angenehme Würze. Auch für Salate und Kräutermischungen für Quark, Kräuterbutter, Dips oder Frischkäse kann er gut verwendet werden.",weiß bis rötlich,mager bis mäßig nährstoffreich,"essbar, Gewürzkraut, Heilkraut",Juni bis September
Bis ca. 150cm,"['https://hortus-netzwerk.de/wp-content/uploads/2020/01/IMG_1916.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/01/IMG_1916a.jpg']",Ertragszone,Halbstrauch,Aloysia triphylla,Südamerika,Verbenaceae - Eisenkrautgewächse,Sonne,frisch - feucht,Insekten,"Zitronenverbene, Zitronenstrauch","Die Zitronenverbene gehört zu den Halbsträuchern und kann bei uns eine Höhe von ca. 150 cm erreichen. Sie stammt ursprünglich aus Südamerika und gelangte durch spanische Seefahrer im 17./18.JH nach Europa. Auf Grund ihrer Herkunft ist sie nur bedingt winterhart und sollte besser frostfrei überwintert werden. In milden Wintern ist auch eine Überwinterung im Freien möglich, wobei die Pflanze einen guten Winterschutz benötigt. Im Spätherbst wirft der Strauch seine Blätter ab, danach kann man die Pflanze stark zurückschneiden. Ab Mai treibt sie von unten neu aus. Bei der Aussaat gilt es einiges zu beachten, wesentlich einfacher ist der Anbau durch Stecklinge oder Pflanzen. Diese können nach den Eisheiligen ins Freiland. Als Standort eignet sich am besten ein vollsonniger Platz, der Boden sollte gut durchlässig und humos, aber nicht zu nährstoffreich sein. Die Zitronenverbene ist kein Trockenspezialist, Staunässe sollte aber vermieden werden. Ab Mitte Juli bilden sich kleine weißen Blüten, die von einigen Insekten angeflogen werden.  Die Verwendung der Zitronenverbene ist vielseitig. Ihre stark nach Zitrone duftenden Blätter dienen als Würzkraut für Fleischfüllungen, zu Fisch, Geflügel und Gemüse. Roh verzehrt man sie in Salaten und in Kräutermischungen für Quark, Kräuterbutter, Dips oder Frischkäse. Die Blätter eignen sich hervorragend zum Aromatisieren von Zucker, Öl, Essig und Salz, auch Marmeladen und Kuchen verleiht sie einen leckeren Zitronengeschmack. Ein Zitronenverbene-Tee schmeckt sowohl heiß als auch kalt und ein paar Blätter machen ein einfaches Wasser zu einem zitronigen, kalorienfreien Erfrischungsgetränk. Bei einer überreichen Ernte bietet sich die Herstellung von Zitronensirup an oder man trocknet die Blätter. In Form von Duftsäckchen ist der frische Zitronenduft der Verbene eine erfrischende Alternative zum üblichen schweren süßlichen Lavendelaroma. Als Zusatz für Kosmetikprodukte ist die Zitronenverbene ebenfalls geeignet.  Und als ob das nicht genug wäre - auch in der Volksmedizin hat die Zitronenverbene einen festen Platz,. Anwendung findet sie in vielen Ländern bei Verdauungsbeschwerden, Erkältungen, Nervosität und Schlaflosigkeit sowie als Umschlag bei leichten Sportverletzungen.",weiß,"gut durchlässig, humos","essbar, Gewürzkraut, Heilkraut",Juli
Bis ca. 60cm,"['https://hortus-netzwerk.de/wp-content/uploads/2020/01/IMG_1919.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/01/IMG_1919-1.jpg']",Ertragszone,einjährig,Ocimum basilicum,Vermutlich tropische Gebiete Afrikas und Asiens,Lamiaceae - Lippenblütengewächse,Sonne,frisch - feucht,Insekten,Basilikum,"In unseren Breiten ist Basilikum meist eine bis zu 60 cm hohe einjährige Pflanze, in tropischen Gebieten hingegen ist sie mehrjährig. Allerdings kann Basilikum bei Temperaturen von ca. 15°C auch in unseren Breiten überwintert werden. Seine Herkunft ist nicht eindeutig geklärt, man vermutet die tropischen Gebiete Afrikas und Asiens, vornehmlich Indien. Nach Europa kam das Basilikum wahrscheinich im 12. JH. Die Aussaat erfolgt im März in Vorkultur bei etwa 20-25 °C. Nach den Eisheiligen kann die Pflanze dann ins Freiland. Der bevorzugte Standort ist sonnig, warm, windgeschützt, nährstoffreich und durchlässig. Die Erde sollte feucht sein und nicht vollständig austrocknen, Staunässe führt allerdings schnell zu Pilzbefall und Wurzelfäule. Ab Juni erscheinen dann die kleinen weißen bis rosafarbenen Blüten, die sehr stark von Insekten angeflogen werden.  In der Küche sollte Basilikum möglichst frisch verwendet werden, da sein Aroma beim Erhitzen verloren geht. Man fügt es den Gerichten daher besser erst am Schluss hinzu.  Es ist fester Bestandteil der italienischen und z.T. auch griechischen Küche und sollte in keiner Tomatensoße fehlen. Weiterhin verwendet man es in Salaten und in Kräutermischungen für Quark, Kräuterbutter, Dips oder Frischkäse.  Basilikum eignet sich nicht zum Trocknen, es verliert den Großteil seines Aromas. Einfrieren ist die bessere Wahl. Auch in Form eines selbsatgemachten Basilikumöls behält es sein Aroma.  Bereits im Altertum galt Basilikum in Ägypten als Heilpflanze und wird heutzutage noch bei Blähungen, Magenbeschwerden und Appetitlosigkeit verwendet. Auch soll es Linderung bei Halserkrankungen und Erkältungen bringen. Allerdings sollte sich der Gebrauch von Basilikum eher auf das Würzen von Speisen beschränken, da die Wirkstoffe Estragol und Campher in höheren Dosen ein Risiko bedeuten können.",weiß bis rosafarben,nährstoffreich,"essbar, Gewürzkraut, Heilkraut",Juni bis September
Bis ca. 80cm,['https://hortus-netzwerk.de/wp-content/uploads/2020/01/IMG_1918.jpg'],Ertragszone,zweijährig,Petroselinum crispum,Mittelmeerraum,Apiaceae - Doldenblütler,Sonne - Halbschatten,frisch - feucht,,Petersilie,"Die zweijährige Pflanze ist in Deutschland eines der meistverwendeten Küchenkräuter und wird bis zu 80 cm hoch. Es gibt Aufzeichnungen, nach denen die Petersilie schon im 3. JH n.Chr. in Griechenland verwendet wurde. Karl der Große verfügte später ihren Anbau und im Mittelalter wurde die Pflanze als Heilmittel genutzt.  Ab Ende März kann man das Kraut im Freiland aussäen, auf der Fensterbank sät und erntet man ganzjährig. Der Standort sollte sonnig bis halbschattig und nährstoffreich sein. Ein wenig Wasser während längerer Trockenperioden hilft gelbe Blätter zu verhindern. Im zweiten Jahr bilden sich ab Juni kleine blassgelbe Blüten. Wichtig: Ab diesem Zeitpunkt ist Petersilie gesundheitsschädlich!  In den Pflanzenteilen steigt der enthaltene Anteil an giftigem Bestandteilen (Apiol, Myristicin) stark an. Es hilft auch nicht, die Blütenansätze zu entfernen, da die hohe Konzentration die gesamte Pflanze betrifft. Es ist also ratsam, sich jedes Jahr neue Pflanzen zu ziehen.  In der Küche ist Petersilie so vielseitig verwendbar wie kaum ein anderes Würzkraut. Fleischgerichte, Suppen, Gemüse, Eierspeisen, Quark, Salate, Dips ... Die Liste scheint unendlich lang, es gibt kaum ein herzhaftes Gericht, zu dem Petersilie nicht passt. Beim Trocknen verliert sie sehr viel Geschmack und Aroma, man sollte sie besser einfrieren.  Petersilie hat harntreibende Eigenschaften. Die Samen können eine starke Reizwirkung auf Darm und Gebärmutter ausüben. Früher wurden mit den Samen Wehen eingeleitet und Abtreibungen vorgenommen (Heutzutage kann man davon nur abraten, da diese Selbstversuche tödlich enden können! Es gibt medizinisch unbedenklichere Lösungen).  In Überdosierung kann Petersiliensamen Niere und Herz schädigen.",blassgelb,nährstoffreich,"essbar, Gewürzkraut, Heilkraut",Juni bis Juli
Ca. 20 - 80 cm,,Magerzone,mehrjährig,Vaccinium uliginosum,heimisch,Ericaceae - Heidekrautgewächse,Sonne,feucht,"Insekten, Vögel (Früchte dienen als Nahrung)",Rauschbeere,In größeren Mengen giftig.,weiß,"mager, sauer",,Mai bis Juni
Bis 50 cm,,Magerzone,mehrjährig,Empetrum nigrum,heimisch,Ericaceae - Heidekrautgewächse,Sonne,trocken,"Insekten, Vögel (Früchte dienen als Nahrung)",Krähenbeere,,braun,"mager, sauer",,Mai
Ca. 10 - 40 cm,,Magerzone,mehrjährig,Daphne cneorum,heimisch,Thymelaeaceae - Seidelbastgewächse,"Sonne, Halbschatten",trocken,,Rosmarinseidelbast,,rosa,"mager, auch sauer",,April bis Juni
